Handle,CurrentRating,MaxRating,Total_Contest,CRating1,CRating2,CRating3,CRating4,CRating5,CRank1,CRank2,CRank3,CRank4,CRank5,TC,OAcc,CC,CAcc 
rachitcoder26,868,868,4,9655,9418,9716,7286,nan,868,744,615,359,nan,10,0.25,3,0.12
YazanAlattar,1618,2115,113,1466,3337,1111,5911,2247,1618,1617,1695,1665,1809,1508,0.33,389,0.33
babber_manav,480,480,1,4222,nan,nan,nan,nan,480,nan,nan,nan,nan,108,0.54,3,0.6
ro27,1436,1436,92,864,2962,2775,1871,4173,1436,1389,1411,1390,1379,722,0.42,205,0.35
hardik_836,1460,1515,70,5464,2922,995,2097,2660,1460,1503,1515,1486,1489,1057,0.45,192,0.55
rahulmittall,1435,1435,19,2724,3353,1588,2169,3326,1435,1408,1401,1313,1277,77,0.49,52,0.56
Ritesh_K_G1,1477,1594,20,1775,5530,5255,882,2641,1477,1468,1526,1594,1500,62,0.64,62,0.64
Ronakkhandlwl,994,1229,23,8314,7230,10750,8200,8733,994,1012,973,1006,1058,144,0.54,38,0.4
ac121102,1698,1698,33,759,1485,772,1611,3475,1698,1618,1584,1538,1500,253,0.4,124,0.35
Nitin_dholera,1506,1506,68,1907,717,2588,4257,3199,1506,1503,1409,1361,1352,531,0.47,159,0.44
Eslam_Ahmed,1738,1754,205,968,1114,1090,1229,1086,1738,1740,1744,1754,1709,3295,0.35,641,0.3
paladarsh,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nayan6119,1613,1641,97,1784,353,2779,2400,1755,1613,1613,1523,1542,1514,2121,0.59,269,0.53
MISHARTA,1621,1730,72,696,4099,871,4121,1521,1621,1542,1586,1486,1523,698,0.36,196,0.51
ar_rony1,1484,1578,173,2701,3008,1794,1787,731,1484,1511,1578,1528,1541,2596,0.47,438,0.43
A_d_i_t_y_a1,1695,1695,62,132,1799,4513,2526,520,1695,1587,1571,1654,1681,554,0.41,157,0.47
kamalkish0r,1506,1506,76,1586,1340,1783,2721,1929,1506,1479,1440,1416,1419,551,0.46,196,0.5
