,Handle,CurrentRating,MaxRating,Total_Contest,CRank1_x,CRank2_x,CRank3_x,CRank4_x,CRank5_x,CRating1_x,CRating2_x,CRating3_x,CRating4_x,CRating5_x,TC,OAcc,CC_x,CAcc ,CRating1_y,CRating2_y,CRating3_y,CRating4_y,CRating5_y,CRank1_y,CRank2_y,CRank3_y,CRank4_y,CRank5_y,CC_y,CAcc
1,nishant_codes,756,756,3.0,15092.0,11235.0,12458.0,,,756.0,614.0,349.0,,,3.0,0.38,3.0,0.38,1579,1621.0,1571.0,1603.0,1566.0,2061,74.0,1453.0,434.0,1219.0,169,0.85
2,drdubey10,393,393,1.0,10466.0,,,,,393.0,,,,,2.0,0.67,2.0,0.67,1579,1510.0,1486.0,1412.0,1330.0,60,822.0,433.0,976.0,3367.0,80,0.93
3,AX3BOi,810,810,5.0,16388.0,9450.0,12000.0,13929.0,14480.0,810.0,784.0,746.0,585.0,367.0,5.0,0.45,5.0,0.5,1579,1557.0,1590.0,1625.0,1581.0,815,2224.0,1379.0,734.0,171.0,31,0.89
4,oye_harshu,347,347,1.0,12456.0,,,,,347.0,,,,,2.0,0.33,0.0,0.0,1579,1522.0,1553.0,1566.0,1512.0,68,3313.0,1904.0,366.0,1510.0,34,0.69
5,rochakv,1026,1171,28.0,10681.0,7143.0,9815.0,7137.0,4832.0,1026.0,1145.0,1140.0,1171.0,1158.0,589.0,0.46,43.0,0.29,1579,1535.0,1534.0,1516.0,1515.0,193,1502.0,1177.0,1976.0,1224.0,99,0.85
6,kishor_053,1097,1126,10.0,8944.0,5579.0,8162.0,6625.0,12202.0,1097.0,1126.0,1103.0,1084.0,1055.0,115.0,0.53,23.0,0.47,1579,1562.0,1601.0,1599.0,1580.0,694,1097.0,925.0,708.0,259.0,197,0.89
7,rajr86642,1340,1340,22.0,2045.0,3799.0,1850.0,7605.0,13846.0,1340.0,1289.0,1266.0,1155.0,1160.0,796.0,0.48,58.0,0.42,1579,1535.0,1482.0,1438.0,1421.0,100,35.0,226.0,1505.0,2736.0,244,0.83
8,kratikjain1520,928,928,4.0,10553.0,6478.0,7484.0,9031.0,,928.0,905.0,707.0,403.0,,12.0,0.3,4.0,0.29,1579,1574.0,1555.0,1578.0,1580.0,1120,677.0,2007.0,1422.0,661.0,57,0.9
9,gitesh1208,1067,1067,6.0,7487.0,11881.0,11566.0,8048.0,15048.0,1067.0,1003.0,923.0,838.0,646.0,61.0,0.47,10.0,0.45,1579,1583.0,1591.0,1591.0,1558.0,1095,1163.0,1145.0,221.0,455.0,288,0.96
11,SSKsan,1109,1114,30.0,4796.0,5329.0,6310.0,5241.0,6039.0,1109.0,1114.0,1089.0,1110.0,1071.0,269.0,0.7,52.0,0.65,1579,1602.0,1614.0,1560.0,1496.0,984,898.0,247.0,67.0,563.0,72,0.92
